instance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
crossing_traffic_inst_mdp__1.log,0,0,0,0,0,0,0,0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
crossing_traffic_inst_mdp__10.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015016092,0.041766518, nan
crossing_traffic_inst_mdp__2.log,0,0,0,0,0,0,0,0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
crossing_traffic_inst_mdp__3.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18E-06,1.38E-05,0.003208713,0.006986179,0.005605361,0.076547433,0.066753775,0.118926175,0.133980381,0.215771701,0.119245082,0.166666667,0, nan
crossing_traffic_inst_mdp__4.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82E-05,0.000418381,0.001037389,0.003902244,0.117629795,0.059649123,0.074853801,0.066666667, nan
crossing_traffic_inst_mdp__5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07E-05,0.000113018,0.000301238,0.001061319,0.002283739,0.033304786,0.095037221,0.066213922, nan
crossing_traffic_inst_mdp__6.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014932347,0,0, nan
crossing_traffic_inst_mdp__7.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000216782,0.002954236,0,0, nan
crossing_traffic_inst_mdp__8.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, nan
crossing_traffic_inst_mdp__9.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157307,0.024407863,0.014424436,0.066929134, nan
elevators_inst_mdp__1.log,0.355642383,0.336965993,0.300626238,0.309025156,0.322894357,0.338932329,0.324502357,0.263644525,0.300779245,0.341408508,0.28533913,0.326782858,0.278270243,0.249296693,0.261594634,0.275122448,0.252892551,0.320703197,0.238451359,0.245960737,0.274109114,0.310747457,0.269729587,0.289381292,0.314662269,0.189855202,0.204894159,0.271047692,0.288282828,0.257056645,0.22008068,0.22441906,0.225310155,0.214516595,0.254574315,0.318210678,0.266782107,0.206406926,0.274545455, nan
elevators_inst_mdp__10.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87E-05,8.11E-05,5.62E-05,0.000418391,0.001379346,0.00334085,0.029642831,0.063394502,0.162373256,0.295237586,0.50894341,0.634157729,0.64766269,0.74915559,0.694597144, nan
elevators_inst_mdp__2.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47E-05,0.000221553,0.000415247,0.000665563,0.014736871,0.070709206,0.123139244,0.186298379,0.262019145,0.390999459,0.35968114,0.335707139,0.484909035,0.42902253, nan
elevators_inst_mdp__3.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99E-06,0.000615336,0.001207722,0.001862698,0.009053307,0.032365992,0.282484814,0.441598135,0.329229502,0.253669468, nan
elevators_inst_mdp__4.log,1.35E-06,1.52E-05,0.000223788,0.000761753,0.019784515,0.040485558,0.037234461,0.051626257,0.06752508,0.088094115,0.110438137,0.161648802,0.208864519,0.198268557,0.21201714,0.228779165,0.253390708,0.287900587,0.298765317,0.305701099,0.31989747,0.320814628,0.427054403,0.376538888,0.439870226,0.386492534,0.473134842,0.3625065,0.42587558,0.495106797,0.435663757,0.497010404,0.517616852,0.52525369,0.565661638,0.561320477,0.565865256,0.536540451,0.469536624, nan
elevators_inst_mdp__5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14E-08,0.000240302,0.004198298,0.014467195,0.101837321,0.242934545,0.476789967,0.573949656,0.536288246, nan
elevators_inst_mdp__6.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81E-05,0.00043672,0.006983447,0.020223557,0.094764994,0.321329827,0.41067084,0.477311831, nan
elevators_inst_mdp__7.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79E-07,3.05E-05,4.54E-05,6.41E-05,0.000127293,0.000305917,0.000773483,0.001238548,0.021940572,0.022441103,0.076457051,0.230257178,0.293365659,0.298794686,0.496080562,0.590910038,0.618016171,0.59313065,0.598124781,0.532263088,0.480763101, nan
elevators_inst_mdp__8.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017437,0.01303615,0.110065684,0.35810927,0.640509547,0.60551336, nan
elevators_inst_mdp__9.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89E-05,0.000730058,0.021848348,0.101712103,0.417177401,0.561416063,0.539122794, nan
game_of_life_inst_mdp__1.log,0,0,0,0,0,0,0,0,0,0,0,1.35E-06,9.75E-06,1.53E-05,2.11E-05,7.97E-05,0.000206161,0.000376127,0.00071916,0.00116719,0.002167873,0.003517056,0.006024854,0.00973328,0.015472721,0.025713859,0.040553065,0.06907437,0.101882309,0.172232005,0.236129664,0.302745492,0.344173289,0.384028219,0.517817503,0.531921818,0.660983988,0.450735374,0.691564023, nan
game_of_life_inst_mdp__10.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003070408,0.314665667,0.980628327, nan
game_of_life_inst_mdp__2.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30E-07,5.25E-06,2.63E-05,0.000145732,0.000647663,0.002344506,0.007874341,0.023694137,0.065210103,0.152914171,0.25073072,0.364486739,0.356968278,0.416230412,0.463348285, nan
game_of_life_inst_mdp__3.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79E-07,5.00E-05,0.000734199,0.007261373,0.037911688,0.111243407,0.245696911,0.378868304,0.469040874,0.278330135, nan
game_of_life_inst_mdp__4.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78E-05,0.000236483,0.001017453,0.002868213,0.006696933,0.015208187,0.0345935,0.086092442,0.206935981,0.427203388,0.519523602, nan
game_of_life_inst_mdp__5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.14E-06,0.000327218,0.008218139,0.073579702,0.342803593,0.325215085, nan
game_of_life_inst_mdp__6.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85E-06,0.012887653,0.30066156,0.04453215, nan
game_of_life_inst_mdp__7.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016224643,0.348784443,0.917964256, nan
game_of_life_inst_mdp__8.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212250828,0.907252022, nan
game_of_life_inst_mdp__9.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064872135,0.895324824, nan
navigation_inst_mdp__1.log,0.266965738,0.141666667,0,1.45E-07,0.017267535,0.115039584,0.077989605,0.172698612,0,0.0625,0,0,8.85E-06,0.000165803,0.00084267,0.003749678,0.083333333,0,0,0,0,0,0,9.67E-05,0.125,0,0,0,0,0,0,0.000161811,0.333333333,0,0, nan, nan, nan, nan, nan
navigation_inst_mdp__10.log,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56E-07,0.000174127,4.23E-05,0.00859931,0.016749362,0.00056953,0.019145206,0.000351573,0.011492726,0.009694291,0.009727685,0.010799546,0.011428571,0.022007857,5.29E-05,0.000315903,0.000630712,0.000215769,6.35E-05,0.000221862,4.39E-05,0.00063582,0,0,0,0.041666667, nan
navigation_inst_mdp__2.log,0.244828406,0.166666667,0.075,0,8.96E-05,0,0.077777778,0,0.120689655,0.181034483,0,2.32E-05,0.000678587,0.001954558,0,0.0625,0,2.05E-06,0.000142065,0.001699878,0,0.083333333,0.083333333,0,6.40E-06,0.000691379,0.001152901,0,0.125,0,0,0,0.000672751,0,0.25, nan, nan, nan, nan, nan
navigation_inst_mdp__3.log,0.245006616,0.175,0,0,0.000179495,0,0.04137931,0.08045977,0,0.103460451,0.181261946,0.002943215,0.04,0.066666667,0,0.050226775,0.051143476,0,0,0,0,0.000157118,0.00088053,0.066666667,0,0,0,0.083747606,0.166666667,0,0,0,0.000454799,0.4,0.333333333,0,0,0, nan, nan
navigation_inst_mdp__4.log,0.211714789,0,0,0.141666667,0.000384006,0,0.088888889,0.05004022,0.060260631,0.122817324,0.005555556,0.106666667,0.16698264,0,0,0.072916667,0.000230937,0.001642804,0.023809524,0.083333333,0.028657581,0.001701498,0.027777778,0.041666667,0.041666667,0.000887273,0.066666667,0,0.043557639,0.083333333,0.100493827,0.083333333,0.098214286,0.042120098,0.166666667,0,0,0,0, nan
navigation_inst_mdp__5.log,0.211976418,0.15,0.025021971,0.025150344,0.008333333,1.06E-05,7.43E-05,0.00035743,2.88E-05,0.222463672,0.011111111,0,1.48E-05,0.000364314,0,0,0.125383303,0.091666667,0.116666667,0.166666667,0.032237343,0.035714286,0.035714286,0,0.042305793,0,0,0.000810188,0.133333333,0.1,0.062719525,0,0,0.000252837,0.083333333,0.083333333,0.125,0,0, nan
navigation_inst_mdp__6.log,0.157954145,1.87E-06,0.000148889,0,0,0,4.62E-05,0.125269236,0.142720911,0.211181002,0.122651271,0.130357143,0.014299564,0.009876244,0.007142857,0.014285714,3.45E-05,0.08119176,0.092261905,0.133942068,0.149586625,0.022727273,0,0.026480013,0.092857143,0.031862382,0,0.035714286,0.071784799,0.071428571,0.028772562,0.000276606,0.0625,9.69E-05,0,0,0,0,0.125, nan
navigation_inst_mdp__7.log,0.134773472,5.34E-06,4.11E-05,0.0001787,2.45E-06,1.06E-05,0.000363379,0,0.09167301,0.173349967,0.033694337,0.027777778,0.191392189,0.193333333,0.038888889,0.01408235,0.032879013,0.030716409,0.025459739,0.114322819,0.135555556,0.166113095,0.096169053,0.0625,0.108179587,0.118181818,0.081144893,0.02606619,0.055811356,0.083347123,0.043676559,0.000239174,0.035714286,0.071428571,0.084354857,0.0625,0,0.083333333,0, nan
navigation_inst_mdp__8.log,0.001851852,0.000151378,0,0,0,0.008333333,8.16E-05,0.008333333,0,0.033950617,0.000153692,0.010066203,0.02,0.020006991,0.020416157,0.010416667,0.021985579,0.036231884,0.000146754,0.008489615,5.12E-06,0.000357247,0.013189101,0.000161835,3.71E-05,0.000310392,0.014735232,0.029685954,0.015145658,0.015658701,0.016723058,0,0.038554385,0.038536242,0.0419141,0.027777778,0.083333333,0.071428571,0, nan
navigation_inst_mdp__9.log,0,0,0,0,0,0,0,0,0,1.35E-06,2.05E-05,0.000153707,1.31E-05,0.008496617,0.008353776,0.016968365,0.00904263,0.017286893,0.005320061,0.026668044,0.023884482,0.000858448,0.010880117,0.000134706,0.000149286,0.000736875,4.60E-05,0,0.008691371,0.0004772,3.41E-05,0.019314586,0.019252155,0.000291448,0.000465391,0,0,0,0.027777778, nan
recon_inst_mdp__1.log,0,0,3.04E-06,8.75E-06,3.14E-05,5.07E-05,8.82E-05,7.18E-05,0.000111067,0.00024944,0.000223475,0.000370266,0.000520545,0.000721888,0.000811429,0.00095303,0.00128773,0.001585461,0.001847016,0.001831365,0.002056909,0.002882518,0.003228004,0.003309062,0.003794531,0.003663479,0.004320754,0.003398299,0.012068006,0.001894735,0.021271639,0.017612627,0.042433862,0.016101365,0.052169312,0.027402486,0.068172568,0.064761905,0.068627451, nan
recon_inst_mdp__10.log,3.96E-07,2.72E-06,1.40E-07,8.32E-07,3.36E-06,1.15E-06,5.62E-07,8.36E-06,1.36E-05,2.99E-06,1.45E-06,4.49E-06,3.79E-06,1.24E-05,1.58E-05,1.26E-05,1.56E-05,1.79E-05,3.12E-05,2.65E-05,2.14E-05,3.07E-05,5.56E-05,8.83E-05,0.000188572,0.000415574,0.000649191,0.000703322,0.000537094,9.30E-05,7.82E-05,0,0,0,0,0,0,0,0, nan
recon_inst_mdp__2.log,0,2.71E-08,6.17E-06,3.96E-05,7.37E-05,8.09E-05,0.00016131,0.000113265,0.000220301,0.000212417,0.00026783,0.0003214,0.000357323,0.000416528,0.000585917,0.000687787,0.000827258,0.001006788,0.001384365,0.001630857,0.002015454,0.00210102,0.00705004,0.002783859,0.007219969,0.003202552,0.008726433,0.009580995,0.023755517,0.023367686,0.047312496,0.015420217,0.031216931,0.005135387,0.035990303,0.023809524,0.052380952,0.033333333,0.042857143, nan
recon_inst_mdp__3.log,1.77E-05,2.33E-05,3.12E-05,1.96E-05,2.86E-05,3.09E-05,3.27E-05,6.10E-05,5.66E-05,5.39E-05,9.15E-05,0.000106068,9.57E-05,0.0001293,0.000121475,0.000255107,0.000281048,0.00051331,0.000523327,0.000658052,0.000917059,0.001043177,0.001547441,0.001607134,0.002253773,0.002718259,0.003312391,0.003923561,0.017242044,0.0327089,0.00242254,0.00022509,0.000277317,0.00034032,0.000398232,0.000585884,0.000650966,0,0, nan
recon_inst_mdp__4.log,0,1.48E-07,2.39E-07,7.35E-07,4.53E-06,6.69E-06,8.34E-06,9.70E-06,1.62E-05,3.09E-05,5.09E-05,5.29E-05,2.74E-05,0.000121399,8.80E-05,8.87E-05,0.000139992,0.000172831,0.000254996,0.000428358,0.000472234,0.00051817,0.000676347,0.000855232,0.001334538,0.001651596,0.001790729,0.002109451,0.002351751,0.002803977,0.008104432,0.028027985,0.052098789,0.042545795,0.058056161,0.059036654,0.094014166,0.065729761,0.098316498, nan
recon_inst_mdp__5.log,6.19E-06,4.30E-06,1.69E-05,1.38E-05,1.77E-05,2.36E-05,3.46E-05,2.69E-05,2.22E-05,2.49E-05,3.63E-05,5.70E-05,5.13E-05,6.50E-05,7.47E-05,9.29E-05,0.000107383,0.000125645,0.000140958,0.00016898,0.000205172,0.000263143,0.000295647,0.000495091,0.000660786,0.001011338,0.001407294,0.002156674,0.002535764,0.002553114,0.001252516,0.000318849,0.000369431,0.000426722,0.000494486,0.000645838,0.001146667,0.003448276,0, nan
recon_inst_mdp__6.log,2.78E-05,2.60E-05,1.13E-05,1.40E-05,2.66E-05,3.31E-05,3.11E-05,2.80E-05,3.02E-05,3.21E-05,5.47E-05,5.08E-05,6.65E-05,8.89E-05,0.000127757,8.86E-05,9.61E-05,0.000130962,0.000182414,0.000200578,0.000249215,0.000256874,0.000313162,0.000481075,0.000472674,0.000538073,0.000736046,0.000732801,0.001048575,0.000783119,0.002281797,1.49E-05,1.51E-05,0,0,0,0,0,0, nan
recon_inst_mdp__7.log,3.36E-07,6.44E-06,2.65E-06,1.74E-06,1.14E-05,4.13E-06,5.21E-07,9.97E-06,5.05E-06,9.76E-06,1.38E-05,1.26E-05,1.87E-05,1.78E-05,1.56E-05,4.29E-05,3.19E-05,7.69E-05,6.92E-05,6.42E-05,9.18E-05,0.000199971,0.000287569,0.00040603,0.000688828,0.001181948,0.001568272,0.002280851,0.002597227,0.002125289,0.001255339,0.000484741,0.000101244,0,0,0,0,0.003225806,0.003703704, nan
recon_inst_mdp__8.log,3.78E-06,3.30E-06,1.39E-05,3.18E-06,1.14E-05,2.45E-05,5.28E-05,4.19E-05,2.37E-05,2.75E-05,5.01E-05,3.66E-05,4.27E-05,4.23E-05,4.78E-05,4.88E-05,3.27E-05,7.05E-05,7.54E-05,9.83E-05,6.84E-05,0.000123292,0.000193142,0.000237258,0.000354285,0.000536479,0.00126464,0.001595626,0.002200199,0.001917657,0.001313688,0.000131771,0.000169683,0.000122964,0.000179453,0,0,0,0, nan
recon_inst_mdp__9.log,0,0,0,0,0,4.53E-06,2.21E-05,1.71E-05,2.34E-05,4.73E-05,4.99E-05,4.42E-05,7.39E-05,6.38E-05,5.25E-05,0.000101451,6.69E-05,5.71E-05,0.000127446,0.000171442,0.000116556,0.000190087,0.000155959,0.000256209,0.000263472,0.000449157,0.000481665,4.08E-05,7.98E-06,3.85E-07,0,0,0,0,0,0,0,0,0, nan
skill_teaching_inst_mdp__1.log,5.14E-05, nan,1.13E-06, nan,6.06E-06, nan,2.23E-05, nan,0, nan,0, nan,0, nan,0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
skill_teaching_inst_mdp__10.log,0, nan,0, nan,0, nan,0, nan,0, nan,3.07E-07, nan,4.58E-06, nan,1.28E-05, nan,5.38E-05, nan,0.000228622, nan,0.000622572, nan,0.0016606, nan,0.004025015,0,0.007297253,1.50E-06,0.022607089,0.003438326,0.043909333,0.208333333,0.053110148,0.083856707,0.076434611,0.166666667,0.05952381,0.208333333,0, nan
skill_teaching_inst_mdp__2.log,1.68E-05, nan,1.15E-07, nan,1.23E-06, nan,9.32E-06, nan,0, nan,0, nan,0, nan,0, nan,0, nan,0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
skill_teaching_inst_mdp__3.log,0.000321061, nan,8.97E-05, nan,0.000341086, nan,0.002778579, nan,1.45E-06, nan,0.011121434, nan,0.002793108, nan,0.0084476, nan,0.003473061, nan,0.013901735, nan,0.004036037, nan,0.012767262, nan,0.012714147, nan,0.015151515, nan,0.020833333, nan,0.011904762, nan,0.020833333, nan,0, nan,0, nan,0, nan
skill_teaching_inst_mdp__4.log,0.000297631, nan,0.000109679, nan,0.000283107, nan,6.53E-06, nan,0.008334576, nan,8.49E-06, nan,0.011130122, nan,0.011179798, nan,0.013591639, nan,0.014501151, nan,0.011909985, nan,0.018635314, nan,0.032697156, nan,0.029691462, nan,0.013888889, nan,0.083333333, nan, nan, nan, nan, nan, nan, nan, nan, nan
skill_teaching_inst_mdp__5.log,0.00647583, nan,0.006524369, nan,0.008444046, nan,0.00426125, nan,0.010270289, nan,0.002394744, nan,0.004648424, nan,0.014131671, nan,0.005987526, nan,0.008304456, nan,0.007261438, nan,0.004344359, nan,0.016660447,0.074074074,0.022759313,0.074074074,0.026337608,0.074074074,0.057450237,0.095959596,0.061605329,0.08974359,0.062513907,0.104166667,0.062962963,0.101851852,0, nan
skill_teaching_inst_mdp__6.log,0.00413362, nan,0.000676421, nan,0.00275979, nan,0.008455023, nan,0.002240514, nan,0.004398117, nan,0.00497759, nan,0.015505645, nan,0.004892617, nan,0.023754315, nan,0.015975431, nan,0.014171008, nan,0.013756708, nan,0.025141386, nan,0.027966602,0.055555556,0.025901711,0.092592593,0.032766867,0.090277778,0.048148148,0.083333333,0.066666667,0.074074074,0, nan
skill_teaching_inst_mdp__7.log,2.87E-06, nan,1.41E-05, nan,2.16E-05, nan,0.000113159, nan,0.000222557, nan,0.000421272, nan,0.000737164, nan,0.00078522, nan,0.000983906, nan,0.004991718, nan,0.004452925, nan,0.006758317, nan,0.01060171, nan,0.02541353, nan,0.021422368, nan,0.033755266, nan,0.044249782,0.142857143,0.055852727,0.047619048,0.077777778,0.107142857,0, nan
skill_teaching_inst_mdp__8.log,1.49E-07, nan,7.26E-07, nan,3.52E-06, nan,6.55E-06, nan,3.39E-05, nan,9.15E-05, nan,0.000262269, nan,0.000644919, nan,0.001335022, nan,0.003564754, nan,0.00328147, nan,0.013140553, nan,0.01947172, nan,0.03263167, nan,0.039996106, nan,0.054526628, nan,0.064995369, nan,0.077193602, nan,0.071428571, nan,0, nan
skill_teaching_inst_mdp__9.log,0, nan,0, nan,0, nan,1.60E-08, nan,3.94E-07, nan,3.77E-06, nan,1.00E-05, nan,0.000138054, nan,0.00012596, nan,0.000386516, nan,0.000819762, nan,0.001936785, nan,0.004169308, nan,0.008168547, nan,0.014545903, nan,0.027014913, nan,0.045023682, nan,0.070314175, nan,0.068055556, nan,0, nan
sysadmin_inst_mdp__1.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89E-06,0.000798369,0.009295085,0.032575627,0.07951836,0.198161031,0.420240024,0.882988768, nan
sysadmin_inst_mdp__10.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063018693,0.999228981, nan
sysadmin_inst_mdp__2.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87E-05,0.004076807,0.016977464,0.048489196,0.166812095,0.420981282,0.847598893, nan
sysadmin_inst_mdp__3.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47E-06,0.01602211,0.319113668,0.481021456, nan
sysadmin_inst_mdp__4.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007035941,0.296393663,0.389591927, nan
sysadmin_inst_mdp__5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102985012,0.917802135, nan
sysadmin_inst_mdp__6.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092505788,0.964456063, nan
sysadmin_inst_mdp__7.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026929586,0.99947057, nan
sysadmin_inst_mdp__8.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03992382,0.999444409, nan
sysadmin_inst_mdp__9.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012949525,0.999255592, nan
traffic_inst_mdp__1.log, nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97E-05,0.021403525,0.117035126,0.066270785,0.112103161, nan
traffic_inst_mdp__10.log, nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030546,0.016354694,0.05744648,0.033452808, nan
traffic_inst_mdp__2.log, nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024758,0.026586451,0.127322749,0.113172031,0.237800433, nan
traffic_inst_mdp__3.log, nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006249355,0.066655272,0.068362633,0.116686086, nan
traffic_inst_mdp__4.log, nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004238022,0.213314195,0.320348353,0.455450358, nan
traffic_inst_mdp__5.log, nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.70E-05,0.021200649,0.010004377,0, nan
traffic_inst_mdp__6.log, nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000514953,0.055942955,0.060698639,0.093055035, nan
traffic_inst_mdp__7.log, nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043431,6.80E-05,0, nan
traffic_inst_mdp__8.log, nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001022201,0.073993743,0.096737131,0.189241, nan
traffic_inst_mdp__9.log, nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001982072,0.001352458,0, nan
